script_file	language	purpose	related_figure_or_result	input_files	output_files	status	notes
03_code_package/utilities/build_endnote_safe_package.py	Python	utility or manuscript-support script	general/supporting		Figure4_after_label_fix.png; Figure5_after_label_fix.png; Regenerative_cell_fate_latent_regime_CHINESE_POLISHED.docx; Regenerative_cell_fate_latent_regime_CHINESE_TRANSLATION_REFERENCE_COPY.docx; Regenerative_cell_fate_latent_regime_ENDNOTE_SAFE_Nature_ready_EN.docx; Regenerative_cell_fate_latent_regime_ENDNOTE_SAFE_Nature_ready_ZH.docx; Regenerative_cell_fate_latent_regime_ENGLISH_POLISHED.docx; 细胞命运论文010_FIGURE_IMAGE_TITLES_FULLY_REMOVED_FINAL.docx; 细胞命运论文010_FIGURE_IMAGE_TITLES_REMOVED.docx	copied_available	source path: work/endnote_safe_reconstruction/build_endnote_safe_package.py
03_code_package/figure_generation/clean_embedded_figures.py	Python	figure generation or figure QA	general/supporting	figure_image_cleanup_report.md	Regenerative_cell_fate_latent_regime_FIGURE_CLEANED.docx; Regenerative_cell_fate_latent_regime_FINAL_EN.docx; after_cleanup_contact_sheet.png; before_cleanup_contact_sheet.png; figure_image_cleanup_report.md; image*.png; image1.png; image10.png; image11.png; image2.png; image3.png; image4.png; image5.png; image6.png; image7.png; image8.png; image9.png; legend_updated.docx	copied_available	source path: work/figure_pixel_cleanup/clean_embedded_figures.py
03_code_package/figure_generation/rerender_clean_figures.py	Python	figure generation or figure QA	general/supporting	figure_legend_change_log.md; figure_visual_encoding_audit.md	Regenerative_cell_fate_latent_regime_VISUAL_ENCODING_FIXED.docx; figure_legend_change_log.md; figure_visual_encoding_audit.md; final_visual_encoding_contact_sheet.png; 细胞命运论文010_FIGURE_IMAGE_TITLES_FULLY_REMOVED_FINAL.docx	copied_available	source path: work/figure_rerender_no_rectangles/rerender_clean_figures.py
03_code_package/figure_generation/remove_embedded_figure_titles.py	Python	figure generation or figure QA	general/supporting	figure_image_title_cleanup_check.md	1_D2BDED3F-C668-40A5-A821-537EF98A1B03/细胞命运论文010.docx; figure_image_title_cleanup_check.md; image1.png; image2.png; image3.png; image4.png; 细胞命运论文010_FIGURE_IMAGE_TITLES_REMOVED.docx	copied_available	source path: work/figure_title_cleanup_010/remove_embedded_figure_titles.py
03_code_package/figure_generation/assemble_inline_figures.py	Python	figure generation or figure QA	general/supporting	figure_audit_final.md; figure_inventory.tsv; figure_repair_tasks.md	/Users/hanchengdezhuanqiangongju/Downloads/Regenerative_cell_fate_latent_regime_manuscript_citation_slots.docx; FINAL_SUBMISSION_PACKAGE/main_figures/Final_Figure_1_Phi_failure_latent_regime_replacement.png; FINAL_SUBMISSION_PACKAGE/main_figures/MODEL_EVOLUTION_MAP_Figure1A.png; Figure_legends_submission_ready.docx; Regenerative_cell_fate_latent_regime_manuscript_WITH_INLINE_FIGURES.docx; figure_audit_final.md; figure_inventory.tsv; figure_repair_tasks.md	copied_available	source path: work/final_inline_figure_assembly/assemble_inline_figures.py
03_code_package/utilities/clean_review_draft.py	Python	utility or manuscript-support script	general/supporting	Regenerative_cell_fate_latent_regime_CLEAN_REVIEW_DRAFT.md; clean_draft_change_log.md	Regenerative_cell_fate_latent_regime_CLEAN_REVIEW_DRAFT.docx; Regenerative_cell_fate_latent_regime_CLEAN_REVIEW_DRAFT.md; Regenerative_cell_fate_latent_regime_manuscript_WITH_INLINE_FIGURES.docx; clean_draft_change_log.md	copied_available	source path: work/final_inline_figure_assembly/clean_review_draft.py
03_code_package/figure_generation/complete_figure_1_to_6_manifest.py	Python	figure generation or figure QA	Figure 1	/Users/hanchengdezhuanqiangongju/Downloads/figure_1_to_6_panel_source_manifest.tsv; figure_1_to_6_panel_source_manifest_COMPLETED.tsv	/Users/hanchengdezhuanqiangongju/Downloads/figure_1_to_6_panel_source_manifest.tsv; figure_1_to_6_panel_source_manifest_COMPLETED.tsv	copied_available	source path: work/final_inline_figure_assembly/complete_figure_1_to_6_manifest.py
03_code_package/figure_generation/fix_embedded_figure_badges.py	Python	figure generation or figure QA	general/supporting	figfix_check.md	Regenerative_cell_fate_latent_regime_PRE_REFERENCE_CLEAN.docx; Regenerative_cell_fate_latent_regime_PRE_REFERENCE_CLEAN_FIGFIX.docx; figfix_check.md; image1.png; image10.png; image11.png; image2.png; image3.png; image4.png; image5.png; image6.png; image7.png; image8.png; image9.png	copied_available	source path: work/final_inline_figure_assembly/fix_embedded_figure_badges.py
03_code_package/figure_generation/patch_figure_1_to_6_manifest_final.py	Python	figure generation or figure QA	Figure 1	/Volumes/T9/PGCS/figure_reconstruction_v3/source_data/Figure_7_panel_g_corrected_source_data.tsv; /Volumes/T9/PGCS/figure_reconstruction_v3/source_data/Figure_7_panel_g_source_data.tsv; /Volumes/T9/PGCS/figure_reconstruction_v3/source_data/Figure_7_panel_g_source_data_v4.tsv; Figure_7_panel_g_source_data_v5.tsv; figure_1_to_6_panel_source_manifest_COMPLETED.tsv; figure_1_to_6_panel_source_manifest_FINAL.tsv; figure_6g_resolution_note.md	/Volumes/T9/PGCS/figure_reconstruction_v3/source_data/Figure_7_panel_g_corrected_source_data.tsv; /Volumes/T9/PGCS/figure_reconstruction_v3/source_data/Figure_7_panel_g_source_data.tsv; /Volumes/T9/PGCS/figure_reconstruction_v3/source_data/Figure_7_panel_g_source_data_v4.tsv; Figure_7_panel_g_source_data_v5.tsv; figure_1_to_6_panel_source_manifest_COMPLETED.tsv; figure_1_to_6_panel_source_manifest_FINAL.tsv; figure_6g_resolution_note.md	copied_available	source path: work/final_inline_figure_assembly/patch_figure_1_to_6_manifest_final.py
03_code_package/figure_generation/pre_reference_cleanup.py	Python	utility or manuscript-support script	general/supporting	cleanup_check.md	Regenerative_cell_fate_latent_regime_CLEAN_REVIEW_DRAFT.docx; Regenerative_cell_fate_latent_regime_PRE_REFERENCE_CLEAN.docx; cleanup_check.md	copied_available	source path: work/final_inline_figure_assembly/pre_reference_cleanup.py
03_code_package/figure_generation/final_lock_figures_and_audit.py	Python	figure generation or figure QA	general/supporting			copied_available	source path: work/final_lock_figures_and_audit.py
03_code_package/utilities/final_nature_cell_manuscript.py	Python	utility or manuscript-support script	general/supporting		Doc1.docx	copied_available	source path: work/final_nature_cell_manuscript.py
03_code_package/utilities/finalize_manuscript.py	Python	utility or manuscript-support script	general/supporting	figure_semantic_audit.md; final_completion_checklist.md; manuscript_revision_log.md	Regenerative_cell_fate_latent_regime_FINAL_EN.docx; Regenerative_cell_fate_latent_regime_FINAL_ZH.docx; figure_semantic_audit.md; final_completion_checklist.md; manuscript_revision_log.md; 细胞命运论文010_FIGURE_IMAGE_TITLES_REMOVED.docx	copied_available	source path: work/final_revision_010/finalize_manuscript.py
03_code_package/model_comparison/full_data_closure_phase_transition.py	Python	utility or manuscript-support script	general/supporting	/Volumes/T9/PGCS/submission_archive_v1/05_processed_data/tsv_csv/gse153596_velocity_cell_state.tsv; /Volumes/T9/PGCS/submission_archive_v1/06_intermediate_results/result14_axolotl_attractor/R14_axolotl_module_scores.tsv; /Volumes/T9/PGCS/submission_archive_v1/06_intermediate_results/result14_axolotl_attractor/R14_axolotl_pseudotime_results.tsv; W_GRN_learned.tsv; W_GRN_learned_state_axis_matrix.tsv	/Volumes/T9/PGCS/submission_archive_v1/05_processed_data/tsv_csv/gse153596_velocity_cell_state.tsv; /Volumes/T9/PGCS/submission_archive_v1/06_intermediate_results/result14_axolotl_attractor/R14_axolotl_module_scores.tsv; /Volumes/T9/PGCS/submission_archive_v1/06_intermediate_results/result14_axolotl_attractor/R14_axolotl_pseudotime_results.tsv; W_GRN_learned.tsv; W_GRN_learned_state_axis_matrix.tsv	copied_available	source path: work/full_data_closure_phase_transition.py
03_code_package/figure_generation/generate_reconstruction_outputs.py	Python	utility or manuscript-support script	general/supporting			copied_available	source path: work/generate_reconstruction_outputs.py
03_code_package/model_comparison/integrate_causal_consistency_into_manuscript.py	Python	perturbation audit or causal-consistency support	Supplementary Figure 1	W_matrix_by_regime.tsv; causal_closure_score_summary.tsv; closure_model_comparison.tsv; counterfactual_bias_by_regime.tsv; counterfactual_consistency_scores.tsv; cross_dataset_perturbation_similarity.tsv; discussion_final_rewritten.md; edge_stability_across_regimes.tsv; final_closure_state_report.md; main_text_clean_version.md; null_perturbation_control_results.tsv; perturbation_deltaZ.tsv; regime_conditioned_deltaZ_consistency.tsv; regime_conditioned_grn_summary.tsv; results_final_rewritten.md	FIGURE_CAUSAL_CLOSURE_FINAL.pdf; FIGURE_CAUSAL_CLOSURE_FINAL.png; W_matrix_by_regime.tsv; causal_closure_score_summary.tsv; closure_model_comparison.tsv; counterfactual_bias_by_regime.tsv; counterfactual_consistency_scores.tsv; cross_dataset_perturbation_similarity.tsv; discussion_final_rewritten.md; edge_stability_across_regimes.tsv; final_closure_state_report.md; main_text_clean_version.md; null_perturbation_control_results.tsv; perturbation_deltaZ.tsv; regime_conditioned_deltaZ_consistency.tsv; regime_conditioned_grn_summary.tsv; results_final_rewritten.md; submission_ready_manuscript.docx; submission_ready_manuscript_causal_consistency_updated.docx	copied_available	source path: work/integrate_causal_consistency_into_manuscript.py
03_code_package/preprocessing/inventory_t9_relevant.py	Python	utility or manuscript-support script	general/supporting			copied_available	source path: work/inventory_t9_relevant.py
03_code_package/preprocessing/learn_w_grn_from_t9.py	Python	utility or manuscript-support script	general/supporting	/Volumes/T9/最终投稿包_有序归档/06_处理后数据与统计输出/图源表与统计表/statistical_outputs/gse153596_cellrank_terminal_probabilities.tsv; /Volumes/T9/最终投稿包_有序归档/06_处理后数据与统计输出/图源表与统计表/statistical_outputs/gse153596_velocity_transition_matrix.tsv; causal_validation/gse216909_pgcs_target_guides.tsv; perturbation_validation/gse221321_pgcs_top_perturbation_effects.tsv; perturbation_validation/perturbation_pgcs_validation.tsv; perturbation_validation/target_annotation.tsv; source_data/gse140203_chromvar_motif_pgcs_associations.tsv; source_data/gse239276_chromvar_motif_pgcs_associations.tsv; source_data/gse239276_crossmodal_axis_associations.tsv; source_data/gse239276_peak_level_peak_gene_associations.tsv; source_data/gse239276_same_cell_peak_gene_links.tsv	/Volumes/T9/最终投稿包_有序归档/06_处理后数据与统计输出/图源表与统计表/statistical_outputs/gse153596_cellrank_terminal_probabilities.tsv; /Volumes/T9/最终投稿包_有序归档/06_处理后数据与统计输出/图源表与统计表/statistical_outputs/gse153596_velocity_transition_matrix.tsv; causal_validation/gse216909_pgcs_target_guides.tsv; perturbation_validation/gse221321_pgcs_top_perturbation_effects.tsv; perturbation_validation/perturbation_pgcs_validation.tsv; perturbation_validation/target_annotation.tsv; source_data/gse140203_chromvar_motif_pgcs_associations.tsv; source_data/gse239276_chromvar_motif_pgcs_associations.tsv; source_data/gse239276_crossmodal_axis_associations.tsv; source_data/gse239276_peak_level_peak_gene_associations.tsv; source_data/gse239276_same_cell_peak_gene_links.tsv	copied_available	source path: work/learn_w_grn_from_t9.py
03_code_package/figure_generation/old_new_figure_integration_audit.py	Python	figure generation or figure QA	general/supporting	/Users/hanchengdezhuanqiangongju/Documents/细胞命运通路研究/FINAL_NATURE_SUBMISSION_MASTER_ARCHIVE/03_SOURCE_DATA/panel_level_tsv/Extended_Data_Fig_1_DPRI_source_data.tsv	/Users/hanchengdezhuanqiangongju/Documents/细胞命运通路研究/FINAL_NATURE_SUBMISSION_MASTER_ARCHIVE/03_SOURCE_DATA/panel_level_tsv/Extended_Data_Fig_1_DPRI_source_data.tsv; Doc1.docx	copied_available	source path: work/old_new_figure_integration_audit.py
03_code_package/utilities/build_polished_bilingual_manuscripts.py	Python	utility or manuscript-support script	general/supporting	Regenerative_cell_fate_latent_regime_CHINESE_POLISHED.md; Regenerative_cell_fate_latent_regime_ENGLISH_POLISHED.md; bilingual_polish_change_log.md	Manuscript_Figure4_Figure5_panel_labels_fixed.docx; Regenerative_cell_fate_latent_regime_CHINESE_POLISHED.docx; Regenerative_cell_fate_latent_regime_CHINESE_POLISHED.md; Regenerative_cell_fate_latent_regime_ENGLISH_POLISHED.docx; Regenerative_cell_fate_latent_regime_ENGLISH_POLISHED.md; bilingual_polish_change_log.md	copied_available	source path: work/panel_label_fix/build_polished_bilingual_manuscripts.py
03_code_package/figure_generation/fix_figure4_figure5_panel_labels.py	Python	figure generation or figure QA	Figure 4; Figure 5	figure4_figure5_panel_label_fix_report.md	Figure4_after_label_fix.png; Figure5_after_label_fix.png; Manuscript_Figure4_Figure5_panel_labels_fixed.docx; figure4_figure5_panel_label_fix_report.md; 细胞命运论文010_FIGURE_IMAGE_TITLES_FULLY_REMOVED_FINAL.docx	copied_available	source path: work/panel_label_fix/fix_figure4_figure5_panel_labels.py
03_code_package/utilities/predictive_superiority_benchmark.py	Python	utility or manuscript-support script	general/supporting			copied_available	source path: work/predictive_superiority_benchmark.py
03_code_package/figure_generation/reconstruct_final_9figures.py	Python	figure generation or figure QA	general/supporting			copied_available	source path: work/reconstruct_final_9figures.py
03_code_package/figure_generation/redesign_sparse_data_figures.py	Python	figure generation or figure QA	general/supporting	figure_redesign_plan.md; figure_visual_density_audit.tsv; figure_visual_redesign_report.md	SUPP_FIGURE_CAUSAL_CLOSURE_REDESIGNED.pdf; SUPP_FIGURE_CAUSAL_CLOSURE_REDESIGNED.png; SUPP_FIGURE_CAUSAL_CLOSURE_REDESIGNED.svg; figure_redesign_plan.md; figure_visual_density_audit.tsv; figure_visual_redesign_report.md	copied_available	source path: work/redesign_sparse_data_figures.py
03_code_package/perturbation_audit/regime_conditioned_causal_dynamics_v2.py	Python	perturbation audit or causal-consistency support	Supplementary Figure 1	W_GRN_learned.tsv; W_GRN_learned_sparse_edges.tsv; causal_closure_score_summary.tsv; counterfactual_consistency_scores.tsv; cross_dataset_perturbation_similarity.tsv; null_perturbation_control_results.tsv; perturbation_deltaZ.tsv; regime_posterior_probabilities.tsv	W_GRN_learned.tsv; W_GRN_learned_sparse_edges.tsv; causal_closure_score_summary.tsv; counterfactual_consistency_scores.tsv; cross_dataset_perturbation_similarity.tsv; null_perturbation_control_results.tsv; perturbation_deltaZ.tsv; regime_posterior_probabilities.tsv	copied_available	source path: work/regime_conditioned_causal_dynamics_v2.py
03_code_package/model_comparison/replace_phi_with_regime_mixture.py	Python	model comparison or latent-state-regime analysis	general/supporting			copied_available	source path: work/replace_phi_with_regime_mixture.py
03_code_package/model_comparison/representational_consistency_analysis.py	Python	utility or manuscript-support script	general/supporting			copied_available	source path: work/representational_consistency_analysis.py
03_code_package/utilities/rewrite_manuscript_locked_9fig.py	Python	utility or manuscript-support script	general/supporting		Doc1.docx	copied_available	source path: work/rewrite_manuscript_locked_9fig.py
03_code_package/utilities/apply_scu_undergraduate_format.py	Python	utility or manuscript-support script	general/supporting			copied_available	source path: work/scu_format/apply_scu_undergraduate_format.py
03_code_package/utilities/story_strengthening_endnote_safe.py	Python	utility or manuscript-support script	general/supporting			copied_available	source path: work/story_strengthening_endnote_safe.py
03_code_package/scoring/structural_identifiability_audit.py	Python	utility or manuscript-support script	general/supporting	/Volumes/T9/PGCS/publication/mechanistic_validation_20260605/perturbation_validation/perturbation_pgcs_validation.tsv; W_GRN_learned.tsv	/Volumes/T9/PGCS/publication/mechanistic_validation_20260605/perturbation_validation/perturbation_pgcs_validation.tsv; W_GRN_learned.tsv	copied_available	source path: work/structural_identifiability_audit.py
03_code_package/figure_generation/structural_figure_recovery.py	Python	figure generation or figure QA	general/supporting	figure_structure_recovery_report.md	Regenerative_cell_fate_latent_regime_STRUCTURAL_FIGURE_RECOVERY.docx; figure_structure_recovery_report.md; final_recovered_figure_contact_sheet.png; 细胞命运论文010_FIGURE_IMAGE_TITLES_FULLY_REMOVED_FINAL.docx	copied_available	source path: work/structural_recovery/structural_figure_recovery.py
03_code_package/utilities/submission_stabilization.py	Python	utility or manuscript-support script	general/supporting		Doc1.docx	copied_available	source path: work/submission_stabilization.py
03_code_package/figure_generation/csrm_publication_figure_system/csrm_visual_system.py	Python	current CSRM figure visual-system constants and primitives	Figure 1A; Figure 1; Figure 6; Figure 7; Figure 8; Figure 9	02_source_data/Figure_7/*.tsv; 02_source_data/Figure_8/*.tsv; 02_source_data/Figure_9/*.tsv	outputs/svg/*.svg; outputs/pdf/*.pdf; outputs/png/*.png	current_production	copied from Figure_Redesign_Output/scripts
03_code_package/figure_generation/csrm_publication_figure_system/build_all_figures.py	Python	current production build entry point for redesigned CSRM figures	Figure 1A; Figure 1; Figure 6; Figure 7; Figure 8; Figure 9; Supplementary Figure 1	02_source_data/	outputs/ plus reports	current_production	run from project root after activating reproducibility environment
03_code_package/figure_generation/csrm_publication_figure_system/validate_all_figures.py	Python	current production QC and validation entry point for redesigned CSRM figures	Figure 1A; Figure 1; Figure 6; Figure 7; Figure 8; Figure 9; Supplementary Figure 1	outputs/svg; outputs/png; outputs/source_maps	outputs/qc; outputs/FIGURE_QC_REPORT.md	current_production	checks SVG editability, terminology, source maps and locked numerical annotations
03_code_package/figure_generation/csrm_publication_figure_system/figure_1A_paradigm_shift.py	Python	current production Figure 1A rendering script	Figure 1A	02_source_data/Figure_7/*.tsv; 02_source_data/Figure_8/regime_posterior_probabilities.tsv	Figure_1A_paradigm_shift.svg/pdf/png	current_production	source-driven schematic; no old manuscript figure reused
03_code_package/figure_generation/csrm_publication_figure_system/figure_1_framework_icon.py	Python	current production Figure 1 rendering script	Figure 1	02_source_data/Figure_8/regime_posterior_probabilities.tsv	Figure_1_framework_icon.svg/pdf/png	current_production	source-driven matrix and posterior-vector framework figure
03_code_package/figure_generation/csrm_publication_figure_system/figure_6_boundary_branch.py	Python	current production Figure 6 rendering script	Figure 6	02_source_data/Figure_6/*.tsv	Figure_6_boundary_branch.svg/pdf/png	current_production	tumour-like boundary branch figure
03_code_package/figure_generation/csrm_publication_figure_system/figure_7_phi_failure_dashboard.py	Python	current production Figure 7 rendering script	Figure 7	02_source_data/Figure_7/*.tsv	Figure_7_phi_failure_dashboard.svg/pdf/png	current_production	locked AUC/permutation/bootstrap annotations from source tables
03_code_package/figure_generation/csrm_publication_figure_system/figure_8_posterior_mixture.py	Python	current production Figure 8 rendering script	Figure 8	02_source_data/Figure_8/*.tsv	Figure_8_posterior_mixture.svg/pdf/png	current_production	posterior state-space and mixture representation figure
03_code_package/figure_generation/csrm_publication_figure_system/figure_9_overlap_divergence.py	Python	current production Figure 9 rendering script	Figure 9	02_source_data/Figure_9/*.tsv	Figure_9_overlap_divergence.svg/pdf/png	current_production	overlap and symmetrized KL divergence figure
03_code_package/figure_generation/csrm_publication_figure_system/update_manuscript_figures.py	Python	local manuscript figure-media replacement utility	manuscript support	Figure_Redesign_Output/png/*.png; local manuscript DOCX files	Manuscript_New_Figures/*.docx	current_support	preserves EndNote field counts while replacing selected embedded media
03_code_package/figure_generation/csrm_publication_figure_system/figure_s1_perturbation_consistency.py	Python	current production Supplementary Figure 1 rendering script	Supplementary Figure 1	02_source_data/Supplementary_Figure_1/*.tsv	Supplementary_Figure_1_perturbation_consistency.svg/pdf/png	current_production	partial dry-lab perturbation consistency audit figure
